,K,befor,after,bt_05,bt_1,bt_15,bt_20,bt_25,ft_05,ft_1,ft_15,ft_20,ft_25
177,178,1.027827589,[1.14713256],0.61925,0.3115,0.13575,0.0515,0.01725,0.654738853,0.360066098,0.165707298,0.052381558,0.01694526
178,179,0.987513808,[1.12921706],0.61075,0.30475,0.14,0.041,0.01125,0.620531562,0.334362363,0.15119863,0.058632278,0.019593208
179,180,0.97633613,[1.40657483],0.61075,0.311,0.12725,0.0435,0.01125,0.649821553,0.364539498,0.190018098,0.079739758,0.036130814
180,181,0.99356137,[1.11865299],0.61725,0.319,0.1355,0.04325,0.01025,0.627173107,0.327137736,0.150865105,0.059545912,0.021816143
181,182,1.058774649,[1.21324008],0.63375,0.3345,0.144,0.05175,0.01475,0.639063255,0.34517027,0.168499329,0.07366981,0.028402002
182,183,1.032833699,[1.04843647],0.6275,0.33025,0.13975,0.051,0.0145,0.609304002,0.307828272,0.130433864,0.049351811,0.022627252
183,184,1.020012415,[1.00802333],0.62275,0.31975,0.1365,0.04525,0.01375,0.637303831,0.324831411,0.127579942,0.041279987,0.013021323
184,185,1.052972936,[1.46217133],0.63275,0.33475,0.145,0.052,0.01375,0.650278715,0.392126777,0.205905709,0.101691447,0.04207346
185,186,1.014456781,[1.32363708],0.61925,0.3275,0.136,0.0465,0.01175,0.633867837,0.366288749,0.178557982,0.072369771,0.03628523
186,187,0.97503386,[1.150763],0.61625,0.3125,0.1285,0.0395,0.0105,0.635320845,0.337645283,0.158219515,0.054936317,0.019710805
187,188,0.979243671,[1.24087709],0.6075,0.30675,0.1325,0.0475,0.01075,0.644560067,0.356155395,0.171693438,0.07402482,0.028668475
188,189,1.03892995,[1.15812946],0.61575,0.325,0.13875,0.05175,0.014,0.604304855,0.324655446,0.144518221,0.063534825,0.029451286
189,190,0.97991726,[1.22848194],0.6145,0.31625,0.1295,0.04375,0.00975,0.649759168,0.351463309,0.163444911,0.070750067,0.029265505
190,191,1.023177956,[1.59518045],0.619,0.3195,0.1375,0.04925,0.014,0.653602793,0.368413154,0.201336721,0.112216331,0.04640119
191,192,1.062247977,[1.38400867],0.644,0.343,0.1475,0.0475,0.01075,0.649758105,0.363225366,0.168225868,0.079146329,0.042443339
192,193,1.043836037,[1.07944527],0.627,0.33575,0.144,0.04725,0.01375,0.627964186,0.33972708,0.150512493,0.054833342,0.018075366
193,194,1.026250472,[1.23148118],0.613,0.32475,0.1405,0.05125,0.0115,0.620063256,0.359341674,0.174805881,0.081003677,0.022140092
194,195,0.984544458,[1.1310415],0.61875,0.325,0.13075,0.04025,0.01,0.640654873,0.341880555,0.132704657,0.055398501,0.021554702
195,196,1.004017133,[1.02852867],0.61725,0.3205,0.13225,0.048,0.012,0.610282533,0.312678582,0.142084275,0.059494157,0.016120323
196,197,0.981851871,[0.99597219],0.619,0.31475,0.127,0.04275,0.01075,0.613360393,0.319011577,0.139366305,0.046257988,0.008659737
197,198,1.041046228,[1.1068218],0.62025,0.32275,0.14525,0.05375,0.01475,0.665883203,0.34410873,0.159928002,0.060715928,0.014449816
198,199,0.997711311,[0.85727767],0.61275,0.3165,0.1345,0.0445,0.01175,0.594204163,0.265100447,0.10770087,0.032445426,0.008052632
199,200,1.01225477,[1.01225477],0.61325,0.31875,0.1405,0.0465,0.0135,0.61325,0.31875,0.1405,0.0465,0.0135
