,K,befor,after,bt_05,bt_1,bt_15,bt_20,bt_25,ft_05,ft_1,ft_15,ft_20,ft_25
82,83,1.001344183,[1.04746079],0.7105,0.4265,0.129,0,0,0.656474593,0.353917568,0.139444424,0.043423284,0.010506141
83,84,0.997418353,[0.97992451],0.70925,0.4185,0.13375,0,0,0.64757788,0.339224871,0.125436267,0.034483271,0.007301244
84,85,1.002557645,[0.97819415],0.71025,0.42775,0.12875,0,0,0.649009862,0.341324205,0.12536707,0.034196614,0.006225823
85,86,0.988612711,[1.02743336],0.70675,0.4115,0.135,0,0,0.652403678,0.353505171,0.137111509,0.039908048,0.007854032
86,87,0.990312373,[0.9398033],0.7075,0.4225,0.1255,0,0,0.643368973,0.333436004,0.117760187,0.027703884,0.004236451
87,88,0.994727547,[0.98279808],0.709,0.42125,0.134,0,0,0.646087294,0.344999712,0.125439884,0.034257917,0.006356001
88,89,0.98900028,[0.96965717],0.70175,0.411,0.137,0,0,0.642398642,0.340594646,0.123478681,0.034379171,0.005432483
89,90,0.981953202,[0.96330128],0.7035,0.40825,0.12825,0,0,0.638127183,0.33802943,0.126308216,0.031673942,0.004393177
90,91,1.000920252,[0.98663611],0.7105,0.4215,0.13625,0,0,0.644234037,0.346250083,0.130225652,0.036928574,0.004617385
91,92,1.012580446,[1.01522126],0.71125,0.432,0.136,0,0,0.646380275,0.348518607,0.132809685,0.040775455,0.007638577
92,93,0.992424551,[1.03129038],0.71475,0.414,0.13275,0,0,0.650138163,0.350492319,0.136489204,0.040877298,0.010285258
93,94,1.003568619,[0.9881632],0.71325,0.421,0.133,0,0,0.647323131,0.343517539,0.128316917,0.034775121,0.006525524
94,95,0.994784628,[1.06839711],0.7015,0.42325,0.1305,0,0,0.653576851,0.363036951,0.145677084,0.044917094,0.0114727
95,96,0.990448036,[1.01851128],0.70675,0.42225,0.12925,0,0,0.650841945,0.349603291,0.13637643,0.037507124,0.008854054
96,97,1.018666817,[1.054553],0.71675,0.4355,0.13975,0,0,0.653743704,0.357873825,0.145864321,0.042668127,0.008997912
97,98,1.003785853,[0.98127111],0.709,0.42425,0.135,0,0,0.638293635,0.342191202,0.12833476,0.035148325,0.005863269
98,99,0.999319164,[1.04841806],0.698,0.42425,0.134,0,0,0.655774408,0.360899242,0.142488049,0.042151596,0.009287978
99,100,0.986650332,[0.99264967],0.70625,0.4095,0.133,0,0,0.651597557,0.342445707,0.13190297,0.035004772,0.006451861
100,101,1.021115414,[1.05663988],0.72675,0.43275,0.1385,0,0,0.659602825,0.358837502,0.140209808,0.044819968,0.010060762
101,102,0.987586723,[1.01922954],0.71075,0.41975,0.12775,0,0,0.652236954,0.350847528,0.133841869,0.040626065,0.007829759
102,103,0.976100701,[1.04884037],0.69775,0.415,0.12675,0,0,0.649323414,0.355139757,0.145896681,0.044371766,0.007987619
103,104,0.997389461,[1.00330417],0.70775,0.4175,0.1355,0,0,0.648871549,0.346328025,0.130501113,0.038692473,0.007403789
104,105,1.002196326,[1.02471628],0.7115,0.42325,0.13875,0,0,0.654880297,0.350893665,0.137267796,0.039715498,0.007968847
105,106,1.019023359,[1.01606726],0.72375,0.4345,0.13225,0,0,0.655146004,0.351312912,0.138244054,0.03891528,0.005386841
106,107,0.997277573,[1.02809776],0.7035,0.419,0.139,0,0,0.655353637,0.359234878,0.13900859,0.038438277,0.005923152
107,108,0.992068029,[1.03021216],0.70925,0.41525,0.13325,0,0,0.64620764,0.348307536,0.138828306,0.039985623,0.010345007
108,109,1.012880712,[1.03622475],0.72225,0.42525,0.1405,0,0,0.66365408,0.354944612,0.13553502,0.041362659,0.008615737
109,110,0.988411748,[0.98180042],0.70475,0.418,0.13225,0,0,0.645698362,0.341337427,0.124406535,0.035671077,0.007161013
110,111,0.983994796,[1.01101544],0.697,0.41475,0.13675,0,0,0.650905,0.346422947,0.131189729,0.037185772,0.008373619
111,112,0.99125175,[1.03209105],0.706,0.4215,0.1285,0,0,0.658039694,0.356889866,0.142390393,0.038925941,0.005588385
112,113,0.991959355,[1.00348443],0.714,0.41875,0.12925,0,0,0.646401872,0.352192573,0.130595748,0.035668462,0.007958965
113,114,0.992651908,[0.99011225],0.70275,0.41625,0.13825,0,0,0.64066599,0.336643076,0.129115889,0.041281474,0.007036864
114,115,0.993438611,[1.03784531],0.70325,0.4195,0.135,0,0,0.657158562,0.356607545,0.139302507,0.039367117,0.008821758
115,116,0.99212612,[0.99302127],0.7115,0.413,0.1305,0,0,0.655400717,0.345748851,0.129374938,0.035541759,0.005597296
116,117,1.004775749,[0.98164184],0.71775,0.423,0.137,0,0,0.651131193,0.343130374,0.125930335,0.034613205,0.005431914
117,118,1.009737118,[1.05824716],0.71725,0.4195,0.139,0,0,0.651763183,0.361122265,0.148503917,0.046349131,0.007135686
118,119,0.976151597,[0.995948],0.70425,0.4085,0.1275,0,0,0.654970259,0.344802752,0.128309248,0.034250349,0.008068381
119,120,1.016491059,[1.07012288],0.7125,0.4285,0.13875,0,0,0.664081576,0.366085161,0.145929453,0.043366843,0.010035505
120,121,0.993948093,[1.0174099],0.7075,0.42225,0.13525,0,0,0.645888498,0.344447162,0.136881779,0.042472663,0.008365328
121,122,1.012770866,[1.01027459],0.7095,0.4285,0.1375,0,0,0.647607594,0.349865316,0.136103101,0.036716518,0.006940603
122,123,1.002146417,[1.07229644],0.72975,0.4185,0.1315,0,0,0.665204549,0.363339883,0.144794067,0.046373903,0.008996663
123,124,0.982716577,[0.98479937],0.6845,0.4195,0.137,0,0,0.635554831,0.342114584,0.125286612,0.0374903,0.008386817
124,125,1.011115628,[1.0809139],0.71225,0.421,0.141,0,0,0.663730941,0.367039335,0.14868131,0.047179542,0.008092577
125,126,1.00353177,[0.99852871],0.71875,0.41775,0.13925,0,0,0.650564619,0.353112422,0.131849047,0.032476927,0.006760203
126,127,1.024672942,[1.07553482],0.7285,0.42725,0.1445,0,0,0.661271052,0.367794771,0.150654351,0.04345389,0.008769029
127,128,1.001413961,[1.01535415],0.7195,0.4225,0.12775,0,0,0.654656124,0.352330006,0.13471554,0.038523506,0.00665523
128,129,0.999518851,[0.9943373],0.72875,0.42475,0.133,0,0,0.651220744,0.342576571,0.130068892,0.03462755,0.007967595
129,130,1.0061856,[0.9997959],0.7165,0.4245,0.13625,0,0,0.647848665,0.345675694,0.137268107,0.036223793,0.005014092
130,131,0.957540685,[1.05281507],0.6895,0.40025,0.12675,0,0,0.647888339,0.352419086,0.145143701,0.04458452,0.010927382
131,132,0.987812976,[1.03602285],0.70475,0.41625,0.1295,0,0,0.663731968,0.363800042,0.141044831,0.037049106,0.006065014
132,133,1.019374697,[1.03921515],0.71075,0.4365,0.13575,0,0,0.658107849,0.355885858,0.140328536,0.041523413,0.007891417
133,134,1.003162705,[1.06984614],0.70425,0.42625,0.1365,0,0,0.658354116,0.363335306,0.147788994,0.046105229,0.00960486
134,135,0.977869905,[1.02598447],0.705,0.408,0.1285,0,0,0.6572103,0.35362116,0.138116993,0.03899211,0.007195865
135,136,1.01542694,[1.03651051],0.716,0.43025,0.13875,0,0,0.656354213,0.358599733,0.143004162,0.040294531,0.005593817
136,137,0.996516156,[1.02707445],0.71075,0.4245,0.1215,0,0,0.651376393,0.355556,0.133035945,0.0405973,0.009193053
137,138,0.986000811,[1.03379737],0.7005,0.418,0.1235,0,0,0.656849327,0.353905739,0.137303319,0.04161395,0.008495095
138,139,1.003182855,[1.06546711],0.717,0.42425,0.135,0,0,0.659827442,0.368073516,0.147717896,0.042055464,0.007933792
139,140,1.016633259,[1.0069873],0.7285,0.422,0.14175,0,0,0.648013465,0.343616435,0.132931764,0.039557664,0.007580521
140,141,0.987397729,[1.02210488],0.70875,0.418,0.12575,0,0,0.651987366,0.352862,0.138491259,0.038579128,0.00511833
141,142,1.009515492,[1.03710443],0.7145,0.42975,0.13525,0,0,0.658103244,0.357135815,0.139180369,0.040840255,0.008095773
142,143,1.00601918,[1.02684096],0.72125,0.42325,0.13475,0,0,0.655916307,0.347938992,0.134760373,0.043005949,0.008879225
143,144,0.993344385,[1.01234641],0.71575,0.41975,0.129,0,0,0.659506461,0.355195557,0.132997267,0.036484693,0.005520171
144,145,0.997701795,[0.97253369],0.701,0.42825,0.13075,0,0,0.645918616,0.343570307,0.126677007,0.033535294,0.006187019
145,146,1.010173057,[1.08561683],0.70375,0.4275,0.1385,0,0,0.652856684,0.358986872,0.144639589,0.052336697,0.013562396
146,147,0.975972882,[1.01942436],0.704,0.40675,0.12725,0,0,0.648372389,0.345176286,0.137740008,0.042271632,0.008043481
147,148,1.007192094,[0.99985069],0.705,0.42675,0.13675,0,0,0.647908059,0.345166089,0.131770446,0.039446269,0.006056069
148,149,0.9942379,[1.00935324],0.71725,0.4165,0.12875,0,0,0.654720792,0.35079932,0.13042785,0.037762885,0.007537886
149,150,0.997622872,[0.99464521],0.70825,0.42825,0.1275,0,0,0.647303225,0.349865362,0.126209912,0.035551592,0.006927419
150,151,1.012833368,[1.00420685],0.71825,0.42525,0.1395,0,0,0.657631937,0.347688307,0.133151492,0.036123344,0.005771741
151,152,0.99618249,[1.0603123],0.7135,0.42375,0.13375,0,0,0.658297808,0.355706433,0.144625686,0.044028641,0.010352104
152,153,1.013003776,[1.00072532],0.72175,0.4285,0.1355,0,0,0.652895106,0.34698822,0.135244231,0.035824611,0.005014158
