,K,befor,after,bt_05,bt_1,bt_15,bt_20,bt_25,ft_05,ft_1,ft_15,ft_20,ft_25
61,62,0.983237286,[1.51969449],0.62125,0.30925,0.126,0.04875,0.0135,0.669964587,0.395744265,0.213036469,0.104596205,0.045425302
62,63,1.007963651,[1.55019249],0.616,0.31475,0.133,0.05125,0.01275,0.671833453,0.40000853,0.214473569,0.104306938,0.04774096
63,64,1.004870866,[1.5032992],0.6235,0.32475,0.1375,0.0445,0.0115,0.674399979,0.413109214,0.221019292,0.105336188,0.042149482
64,65,0.995718974,[1.60462587],0.60825,0.3135,0.13225,0.04475,0.01325,0.67581119,0.406166836,0.222802174,0.110582377,0.05093412
65,66,1.00441689,[1.58982238],0.61325,0.3175,0.1325,0.0455,0.01325,0.677094869,0.413223409,0.229904463,0.112203326,0.049931455
66,67,1.036426067,[1.69855117],0.61625,0.324,0.14425,0.0505,0.014,0.690254743,0.43098454,0.240425924,0.12101148,0.055510731
67,68,0.987183547,[1.65409037],0.60575,0.31325,0.1245,0.04475,0.014,0.677303459,0.412384911,0.227735059,0.119447032,0.058800007
68,69,0.964683235,[1.6890122],0.622,0.31425,0.121,0.042,0.01025,0.685369533,0.420589416,0.235189053,0.121753369,0.059164964
69,70,0.954042515,[1.69376163],0.607,0.30775,0.12575,0.04075,0.0115,0.688782988,0.42630491,0.238749291,0.121341043,0.056674173
70,71,1.005569552,[1.79438185],0.62525,0.31525,0.13125,0.04725,0.01325,0.691893641,0.432367038,0.246998271,0.129429998,0.065127645
71,72,1.016352197,[1.67147767],0.60475,0.31825,0.1375,0.05025,0.016,0.694578087,0.43076673,0.238845483,0.120545699,0.053347016
72,73,0.985321317,[1.75549298],0.61525,0.31225,0.1315,0.04275,0.012,0.691238512,0.431350268,0.240537501,0.127570843,0.061635813
73,74,0.982879031,[1.6987575],0.61075,0.31225,0.13075,0.04225,0.01275,0.686249559,0.424920733,0.238853288,0.12406672,0.060032064
74,75,1.024367082,[1.83194806],0.62075,0.324,0.14225,0.05,0.01225,0.69661924,0.438639929,0.25318234,0.13808701,0.070962905
75,76,0.96760509,[1.80785361],0.6155,0.30625,0.1305,0.04075,0.01,0.693330848,0.43151936,0.251753605,0.135092741,0.064593691
76,77,0.976402701,[1.88512868],0.609,0.31325,0.13625,0.04275,0.01075,0.70115499,0.448840912,0.262523719,0.14326824,0.073493227
77,78,1.002151289,[1.78628896],0.62075,0.32475,0.1305,0.04775,0.01225,0.692176455,0.435335087,0.249677992,0.129014901,0.06260184
78,79,0.996297857,[1.87861768],0.6155,0.3255,0.1325,0.04425,0.0105,0.69780032,0.440924446,0.260123126,0.140652111,0.072224671
79,80,1.02384863,[1.94106503],0.62,0.32425,0.14075,0.04575,0.01225,0.693992769,0.439237155,0.260006302,0.14027498,0.073165003
80,81,0.978114447,[1.84817004],0.6125,0.31725,0.12425,0.042,0.01125,0.698280684,0.449083074,0.262147868,0.141829032,0.070768227
81,82,0.953833512,[2.04880828],0.6125,0.3145,0.12175,0.039,0.009,0.708388889,0.452603991,0.267521176,0.150747907,0.083271946
82,83,1.027174833,[1.97758344],0.6245,0.327,0.1365,0.04975,0.013,0.700313836,0.446192367,0.26706473,0.147150519,0.07942396
83,84,1.002310161,[1.97903745],0.61275,0.32025,0.13175,0.04425,0.0145,0.698168738,0.448758416,0.270235754,0.153019635,0.080617491
84,85,1.030752211,[2.08236031],0.6225,0.32875,0.13825,0.051,0.01275,0.711016568,0.463168108,0.279040944,0.160927304,0.082959272
85,86,1.042065808,[1.93137726],0.627,0.3265,0.13725,0.05,0.0145,0.706482932,0.453888079,0.267867321,0.145192345,0.074359132
86,87,1.01164769,[2.01614642],0.6275,0.32525,0.1395,0.042,0.01125,0.70443024,0.45719844,0.276276857,0.156309094,0.083242545
87,88,1.015071808,[2.04120425],0.622,0.3155,0.134,0.0505,0.01375,0.711668959,0.462136898,0.279005611,0.158631041,0.083731891
88,89,0.971452668,[2.14322559],0.60775,0.3135,0.12875,0.03975,0.011,0.710548281,0.461799217,0.278738342,0.16177901,0.087811996
89,90,1.03764059,[1.97454651],0.61625,0.31775,0.1415,0.05025,0.0165,0.70499311,0.455690203,0.272774469,0.152266732,0.080204632
90,91,1.025910628,[2.05525739],0.61625,0.3235,0.14125,0.04975,0.0125,0.709729435,0.463290443,0.275574465,0.158709119,0.085090164
91,92,1.007103768,[2.11250798],0.622,0.312,0.13225,0.05,0.01275,0.714416067,0.472596103,0.290736161,0.168131465,0.08775411
92,93,1.021360434,[2.14290911],0.6115,0.326,0.13575,0.04825,0.0155,0.707352733,0.46344072,0.28613824,0.168829957,0.093235193
93,94,1.024144145,[2.22795175],0.61925,0.3235,0.138,0.047,0.01525,0.717354546,0.476991167,0.295409663,0.171059978,0.094760587
94,95,1.000616118,[2.16553973],0.62025,0.32,0.1315,0.04425,0.0165,0.722781209,0.478732372,0.286026868,0.160954079,0.08907078
95,96,0.972406807,[2.35983539],0.60825,0.309,0.1305,0.0415,0.01075,0.719354329,0.479215573,0.302148647,0.178891657,0.102174603
96,97,1.00178734,[2.32836961],0.608,0.32075,0.12825,0.04725,0.01375,0.719494089,0.48112955,0.299767155,0.175979494,0.098132953
97,98,0.985851961,[2.21330054],0.611,0.31375,0.127,0.047,0.0105,0.718132899,0.475865261,0.295577518,0.170667771,0.094209126
98,99,0.954924516,[2.12184088],0.617,0.313,0.1205,0.04075,0.00925,0.718561618,0.474155842,0.288392821,0.164945271,0.088951456
99,100,0.995755042,[2.36226452],0.61225,0.3235,0.13025,0.04525,0.01125,0.727679745,0.486045648,0.307037474,0.181724627,0.103830834
100,101,1.010892016,[2.31096432],0.61475,0.32,0.1335,0.05075,0.015,0.718530109,0.4817545,0.297201451,0.174633019,0.100116574
101,102,1.017829589,[2.25790677],0.6155,0.3155,0.13775,0.04975,0.0155,0.723659254,0.485298379,0.307641044,0.177999206,0.097830747
102,103,0.99069742,[2.36642122],0.62225,0.31825,0.13225,0.03925,0.01,0.726202535,0.491549106,0.309528961,0.183858733,0.105106798
103,104,0.955252445,[2.29004827],0.6085,0.305,0.1235,0.041,0.0125,0.730994781,0.492459404,0.307938335,0.182184862,0.100339954
104,105,0.996960573,[2.43453102],0.61975,0.3155,0.13225,0.0435,0.0115,0.737129541,0.500304417,0.318975047,0.192197511,0.112171501
105,106,0.981410959,[2.31609879],0.62275,0.32125,0.1305,0.0395,0.01075,0.720262436,0.486008777,0.307402899,0.18320734,0.103254982
106,107,1.066814947,[2.34758196],0.63075,0.32875,0.144,0.0555,0.01575,0.738834028,0.498714275,0.31308327,0.183784637,0.106632987
107,108,0.9997204,[2.29819699],0.6075,0.31175,0.135,0.05125,0.01075,0.719720593,0.483250493,0.304714786,0.179394886,0.1001145
